vector,color,brand
"[0.7494950662107964, 0.362260161827866, 0.34682284894408955, 0.6278603308534615, 0.6303958869047742, 0.07733388597265523, 0.27022179144184655, 0.918170445728429, 0.08277901772914653, 0.6403783980765861, 0.04202375900768718, 0.3356629506720219, 0.30483696764556, 0.2532163677598611, 0.6025013156298613, 0.8192990642168376, 0.019149419007543522, 0.8293075585085669, 0.6788422653911448, 0.9457941330650235, 0.9116874843111381, 0.7920063257091225, 0.581664347139004, 0.9853607045236296, 0.5231405322255052, 0.11918372380994813, 0.5841862444585969, 0.6703477263874794, 0.7150141334712986, 0.8566323109947926, 0.1552679193310904, 0.9350245185720963, 0.4219597903877982, 0.5622089131216559, 0.6163742154332923, 0.6152028862884797, 0.00229312827457262, 0.3021219293328582, 0.6498439436970721, 0.7194227078473877, 0.6759610168059391, 0.9522647049612349, 0.40537364294728184, 0.9572118183046183, 0.8908291242561963, 0.30088828354662145, 0.717545721754168, 0.5109184557538241, 0.4574822564836716, 0.055577825080128984, 0.08286855082395728, 0.900768131892719, 0.1066423959549817, 0.1490618115148039, 0.8447848961472387, 0.11631703539016258, 0.01427424631686991, 0.4747209334146073, 0.9797447785006165, 0.3838675332807304, 0.41727271119891163, 0.9012091152777774, 0.5166731085241523, 0.010675384802703025, 0.7011416565500493, 0.8188348752670639, 0.826167612565144, 0.5608460056947879, 0.6447504467848176, 0.5273546017842352, 0.47156021104873735, 0.5014032050226781, 0.40595779954013966, 0.23078478158895321, 0.08470426829474087, 0.8038933276860233, 0.4098680893667851, 0.36019720914376496, 0.07522360486000701, 0.3760888624708475, 0.9300315448389348, 0.16195431559792162, 0.41495123954894797, 0.11602155384266521, 0.5959234182860577, 0.7136605754929851, 0.8851800813766031, 0.8717111447390562, 0.8796674619079353, 0.9259205772295067, 0.3355329971911898, 0.6110902028746656, 0.3438339195544071, 0.0956390441392444, 0.9017345136099238, 0.797379354248276, 0.6270064177445591, 0.25258008256115494, 0.581807121647565, 0.030261680701601512, 0.06983890833903938, 0.4698511902302115, 0.35360509336985824, 0.48223315000662115, 0.4481824680149836, 0.2903525836661458, 0.1632372542815872, 0.3366122167428848, 0.37748545815204626, 0.754089264596138, 0.9099282249490691, 0.8220221537067709, 0.9164036497804037, 0.24301355165483207, 0.3346835730275962, 0.6703594344655913, 0.82259059117185, 0.8753635169492088, 0.9062086963635461, 0.5959308459181227, 0.023395066879517645, 0.9680783054386503, 0.7063851159313915, 0.15612828364704545, 0.9275590379493688, 0.936062029228044, 0.5372677247352975, 0.4358784440773602]",2000,0
"[0.4628957319170859, 0.5240275704435307, 0.8367241046966299, 0.24812530726313708, 0.27895189134338705, 0.3196968506256439, 0.02542951851088393, 0.2759211721683408, 0.37258305533679104, 0.21823879497321963, 0.8449127982036749, 0.6506650590938127, 0.720133473039615, 0.13236934100178643, 0.1954193202921607, 0.7305456252736034, 0.5573539806599577, 0.9912452993226342, 0.22900718682635202, 0.09213080761872638, 0.01389149338526452, 0.8593702571258767, 0.07785004995410805, 0.0535774670956084, 0.39924426905107524, 0.47548473873538666, 0.08741810504911307, 0.9088290244978817, 0.521658044487536, 0.19504542357164134, 0.6079914443262816, 0.5856447919434108, 0.035335306266925715, 0.6633274028773014, 0.6505251491290575, 0.655772566761932, 0.025675513231131486, 0.6548425448956241, 0.648510572650575, 0.4305726992028611, 0.2939754757766264, 0.01929834295136279, 0.7489360249829176, 0.6613429885528569, 0.47569660838056627, 0.36097025816023653, 0.8760552017961932, 0.5342561648169362, 0.5180540526642409, 0.5988709771297548, 0.3359621811649608, 0.23451504794615752, 0.33374501527088074, 0.7938017688603305, 0.9130238351262155, 0.3719678283304446, 0.6136454670910169, 0.9538203204683209, 0.3142310468559538, 0.8711465099897022, 0.2858886810895216, 0.5770323820944148, 0.3955384632565103, 0.13619414372411665, 0.8259714018128288, 0.2601409366859603, 0.9126253793284549, 0.4010335462481047, 0.988015107815683, 0.8432509303372154, 0.6258880950876633, 0.2730905726104541, 0.6068292548361567, 0.7463610934708484, 0.30343223490514293, 0.9904049094984995, 0.5431314300860959, 0.8332502540372835, 0.2646768523479548, 0.23271530480730118, 0.08487521138724408, 0.7557996768853226, 0.07332994326307096, 0.28512687228170497, 0.8683578334830131, 0.963820846203097, 0.9314992571721136, 0.5267972409199166, 0.9506117133849158, 0.5369385200572274, 0.500965093850848, 0.23731998188786374, 0.8904097696663271, 0.2916632503828209, 0.7862275335362263, 0.4443273597989834, 0.8911536853645935, 0.33128372834684383, 0.9191566152850718, 0.26932353048999225, 0.007749894234202026, 0.42291153313923935, 0.5194929118038417, 0.22956575899897724, 0.4231473121303442, 0.31704834177547325, 0.6488887655703139, 0.20405751528959515, 0.585326373248523, 0.09284602899857419, 0.33614900424951943, 0.939940628418604, 0.3736552036670112, 0.6584942181670074, 0.8896800576212436, 0.5577260105130246, 0.1775794700631842, 0.09843382821618452, 0.6521742188337918, 0.10075344316368506, 0.3491992276053456, 0.1625425661510418, 0.9189106614799085, 0.8835275012927482, 0.034101205678270574, 0.8337807839192825, 0.7386538461937946, 0.6947601287852888]",2001,1
"[0.4697697860551039, 0.29466580603694115, 0.8733718164444316, 0.5144792666061271, 0.09541675633582891, 0.7151695447447052, 0.5213526432998044, 0.6783504216753842, 0.21360709403916822, 0.28188349843346905, 0.7254711376128063, 0.3047948905142268, 0.7925773667001573, 0.8651037161855777, 0.017315073620508437, 0.28284190570538204, 0.6657138315238733, 0.6189991766027643, 0.2935378123632516, 0.8479774865064171, 0.6983688814957436, 0.48680645882817397, 0.7168958619869359, 0.5568835020913272, 0.9611151101485367, 0.73906054960257, 0.3719321993302226, 0.4936534927424937, 0.7438044913725809, 0.4964754943078843, 0.9381219393107829, 0.1711960209897726, 0.6792708962086781, 0.8940825745603166, 0.7711485072763542, 0.6738390397445417, 0.17009300410359307, 0.5980949528318513, 0.33683498670589174, 0.8372773870532522, 0.3624970504899414, 0.6814747680153094, 0.42668131072127025, 0.6330937748851513, 0.5105236723738336, 0.1407281264660507, 0.8939581837498684, 0.5469097294350316, 0.7357659103137362, 0.21748364174601287, 0.6897178491836806, 0.5389403377844852, 0.02646439929641864, 0.30265471704640445, 0.30273762939921856, 0.9024385898364907, 0.3563533003215964, 0.16627501505923747, 0.8241657593405419, 0.3070539288165951, 0.5387125582001638, 0.44476228578437527, 0.1872491723935168, 0.4951779131036653, 0.8767085572434262, 0.01064717324369191, 0.7021624823970521, 0.6778078926988786, 0.13898605550651388, 0.08040331602941297, 0.17503724106160978, 0.5384176298278839, 0.9650230978442591, 0.1711420993905406, 0.08965585851276014, 0.6733441813965672, 0.29790294673126194, 0.5585964007308868, 0.7910236632658558, 0.7989959124242052, 0.42104643374229267, 0.6431501162549492, 0.3329221187149177, 0.019844276089760027, 0.17519551569332192, 0.38585688965236986, 0.38779984716522076, 0.5166994333485312, 0.09346281028148729, 0.8821197596556801, 0.7637615910571288, 0.14180809435818653, 0.31723823287159736, 0.726541067306511, 0.45838015341743776, 0.6324923332583543, 0.3299669819333494, 0.27340755346173296, 0.46163297410966797, 0.4321319475325145, 0.24445449399073782, 0.7732312974910983, 0.9153480939675861, 0.8959766077598998, 0.5234647589384309, 0.8025279373100288, 0.40916857582362853, 0.48696402906025327, 0.15087668512263575, 0.8355979619398363, 0.12454768656497028, 0.3238273803997507, 0.6924967142660071, 0.8832967285876645, 0.027580863615695006, 0.1392569375394237, 0.9012292997830139, 0.880019911389121, 0.28243644554764324, 0.3849225919881276, 0.9643472173010335, 0.7532240553729102, 0.9753915411590568, 0.47296979339450373, 0.8549467292119546, 0.5360016801007416, 0.12108824670044027, 0.39899983826016316]",2002,2
"[0.8816447594140305, 0.45629469850388427, 0.7135306367743383, 0.9964827263911, 0.7677906713708408, 0.8531237975567288, 0.9719769194923586, 0.6097316762834077, 0.7761731018366773, 0.6018523291309568, 0.9132102954734634, 0.012591123364877554, 0.9622364395466063, 0.4030859132109402, 0.2294851803807998, 0.4130923395302408, 0.8477100002837442, 0.33789239691123185, 0.948981197405619, 0.8298835719557645, 0.8379913940855609, 0.640999291948416, 0.06347037374470299, 0.404016680467596, 0.9303514163745576, 0.6750999374134004, 0.012248012964741983, 0.5533014020525467, 0.5715204916648051, 0.2282334803671784, 0.9038036478837369, 0.8636716626568232, 0.8120270675551469, 0.9134154153417798, 0.3112900173204278, 0.23210572846866218, 0.3315590751984496, 0.4822761722067572, 0.9336537938183147, 0.6876933796469397, 0.7662159009789228, 0.640938422707404, 0.5102101229453857, 0.4515307859283194, 0.3802313564683577, 0.5878100445909938, 0.7566752990641978, 0.9083476428739283, 0.37080654983654593, 0.40349210776221833, 0.2884769233584439, 0.6474847738162728, 0.9276000551539392, 0.8870572042691808, 0.07303897631893996, 0.3027622402810495, 0.4843636169670227, 0.27325455476285976, 0.835791353109393, 0.49029154517250906, 0.10097125021229891, 0.7140315423370713, 0.22695899810237463, 0.8568588904656541, 0.6626407229283335, 0.48302723469072795, 0.3949566385548593, 0.5110970420221511, 0.22165870061504156, 0.7092278107635528, 0.6755633273513147, 0.2953760228708835, 0.9306613993900401, 0.31533926190613004, 0.5485075658081099, 0.7324300010547109, 0.12693158883138944, 0.9506970165341359, 0.6209636689628114, 0.7987761140049036, 0.0037709566209271905, 0.4441205155651081, 0.5555930630178434, 0.28343908680470375, 0.015363364831692095, 0.8004944916717284, 0.24862911141632582, 0.6514642047525923, 0.9783594725315657, 0.598324342540324, 0.0463191311187231, 0.3718046762302345, 0.5400836157163101, 0.7143606384165049, 0.03359552134503141, 0.004865424012418185, 0.955220048089651, 0.8070662069713308, 0.7376414112592955, 0.6075748362291931, 0.759089896472359, 0.3702877801867739, 0.06401674929530587, 0.3138659091390611, 0.869331163861266, 0.33993477808760697, 0.813011720666184, 0.6790597921066387, 0.23929375051026258, 0.4995633583958111, 0.5082951717091189, 0.8105532374463653, 0.9171487206235799, 0.5209935100289307, 0.7795917962859853, 0.7714194850470808, 0.5073830381464509, 0.40543298580956344, 0.9752683185495574, 0.10533606946034191, 0.11300796265005764, 0.5959444886044518, 0.2714776033670091, 0.7540879506890609, 0.11623960930403732, 0.1775508438585487, 0.16717928195098197, 0.3359092393000669]",2003,3
"[0.5167313900419167, 0.036324541089696516, 0.049784003524491416, 0.4975292755736678, 0.5333824866677462, 0.2800569830388199, 0.8535632282174925, 0.4714480570144878, 0.03645765132438161, 0.6280338259030512, 0.46268551963158655, 0.17030534020860055, 0.799853794250656, 0.10301558120047427, 0.04196017416387943, 0.74181383694158, 0.7845603215753583, 0.5759629753884954, 0.12385528970824855, 0.5158593077537726, 0.8492830117262148, 0.7974181887065328, 0.9263532826639875, 0.868826253565272, 0.9028203582375389, 0.05975880081756357, 0.029783994217916998, 0.3506255165450013, 0.3864155063584941, 0.2313005786734006, 0.5780012248943728, 0.40759967909765904, 0.4506396437194189, 0.42957883091932036, 0.6431673356439689, 0.4545895703910082, 0.39711785261259336, 0.4671618001143041, 0.4508044024725112, 0.46613068829549165, 0.6445368165134132, 0.9414094166632265, 0.9217484549382515, 0.9923302173241885, 0.0967717667813689, 0.18111558215240608, 0.42396447017718353, 0.6439077468171807, 0.4453273894321734, 0.42458835938622663, 0.1988669406871053, 0.8951594503274455, 0.4482454257452786, 0.4416242465573953, 0.6673696206969538, 0.5362698581925033, 0.8373740867388925, 0.2995612832527691, 0.2989836734720832, 0.3011866889120193, 0.2810679821521014, 0.9627384303299671, 0.11964688340313179, 0.44206357850399924, 0.5043753433348389, 0.19839892330712738, 0.09379379389924647, 0.7334167138491309, 0.14127285260532674, 0.3978551611529684, 0.8764406004329756, 0.7308780045942781, 0.282034681458483, 0.009472986749068713, 0.5012214474697699, 0.6309686491582737, 0.12073425413698091, 0.9682842878192703, 0.3181989046293999, 0.27278354186037823, 0.45217120421830603, 0.674810993438842, 0.0903669856492193, 0.008329236989498168, 0.683642778272111, 0.06290901131957116, 0.5343589565528509, 0.7669262481532132, 0.9128598073909447, 0.48057754868336433, 0.354516271689548, 0.6881027869857761, 0.08807227058223588, 0.49211211057272475, 0.5246568238641547, 0.18427875296993468, 0.10340610581964604, 0.44726870019251863, 0.680262923594955, 0.25371677748589616, 0.61821366961778, 0.2009100364941766, 0.6802108701797587, 0.4475120613326906, 0.943103205277985, 0.6211538945485607, 0.4154945453490404, 0.8456207221034977, 0.10083370658520241, 0.2147510166143498, 0.9629345479130751, 0.5152066836621698, 0.35367857623432275, 0.09144321072562367, 0.4668843605214048, 0.43295779992978145, 0.05316667713951306, 0.5966981831887659, 0.4799165082292063, 0.19161192740184152, 0.7500782030136306, 0.3531541397992146, 0.6141104190368945, 0.6750205840035463, 0.459107348054854, 0.6629238563792256, 0.21079843772077855, 0.9488877955763491]",2004,4
"[0.5295615569628, 0.25257360116778205, 0.7309669072466216, 0.9979721188649322, 0.5646959242796097, 0.9475045743470105, 0.9059571158143317, 0.565640876212402, 0.5839995858225938, 0.7614881317151979, 0.1527394266016917, 0.7650520856925389, 0.3905623171282938, 0.8925867829063682, 0.956242489557439, 0.7826431262512464, 0.1453231609025717, 0.569700211462112, 0.27485178169254076, 0.945743666651085, 0.9285677564002177, 0.9240109350640776, 0.5687499418469721, 0.35602564140302684, 0.20178098118929277, 0.6945372311821386, 0.23171201998491486, 0.7331527173086853, 0.8915807196141079, 0.5815490902228843, 0.42691097242673837, 0.5803921005369549, 0.5211688725059126, 0.8766732094368028, 0.373764800384798, 0.4287617231924822, 0.022987696254717083, 0.5944395599806332, 0.7762281321675769, 0.022485067187985708, 0.7810209360914987, 0.6994869286363895, 0.24729971289065966, 0.10115046211249856, 0.4202481717247919, 0.24761157250728316, 0.25775242717808167, 0.38245410207556263, 0.0934078633494303, 0.5965883602224253, 0.8447098059081973, 0.14258086554301164, 0.09434555365973729, 0.6282054618185726, 0.1822359541433637, 0.037725822024177735, 0.7253725876181966, 0.24180535785244317, 0.5570788285690842, 0.5912175631344808, 0.5352312405912136, 0.32426324340192414, 0.3339892398494638, 0.6058403336936895, 0.29304681822264955, 0.5406124231781835, 0.9047521913611952, 0.5030073069430371, 0.1860866093169956, 0.6850597814733228, 0.5578250758615604, 0.6401648065154615, 0.33986892043341144, 0.8056314600694273, 0.9662849726042305, 0.45741362232266247, 0.3835226856747391, 0.5958002963213871, 0.4639241940838936, 0.8552813541077195, 0.5715333502086313, 0.42107512254279644, 0.1767620554101672, 0.6527628448831342, 0.6315095549871923, 0.09214553893135002, 0.33264097962109485, 0.8899918787361729, 0.6120817093173346, 0.1595752693500948, 0.8103056018202294, 0.4368855527907183, 0.6114231384014076, 0.8966438607607278, 0.278490003986961, 0.49263976349294636, 0.4599188787263476, 0.2365413449779611, 0.019234854941744484, 0.5830239673508064, 0.3341017792885843, 0.9694454161836873, 0.2967223445299976, 0.22127850314217723, 0.9983306397803522, 0.9551576174530486, 0.1851138381712899, 0.36640789072573643, 0.8318275813622928, 0.4490940491998975, 0.40081421674194373, 0.89721576278658, 0.5466521810567595, 0.8549792526670472, 0.7392444387376766, 0.15859362509388342, 0.9869443732761006, 0.17998958550944733, 0.6338258388254999, 0.5814762838052294, 0.07537384481329024, 0.022305657775247956, 0.29874317302792, 0.6194801572424927, 0.647493061476785, 0.008543778335022179, 0.2809762124340761, 0.360646061529618]",2005,5
"[0.44628298661481713, 0.5781931375116172, 0.7008780122433008, 0.398911966678132, 0.38685698961435977, 0.16692814894784513, 0.5963985647979051, 0.0937862753488875, 0.12949963330070902, 0.6525119712005372, 0.556639269553638, 0.6149917071221804, 0.9323177751328933, 0.07569277451776146, 0.4680956548839148, 0.7040496527964512, 0.7213524497935514, 0.46045396443790776, 0.2524908959955158, 0.5457034900573419, 0.561664938095418, 0.7044586920030674, 0.9209919799792906, 0.4196984999327452, 0.043871132870664575, 0.3827591784375778, 0.3751863192577807, 0.5132470561130063, 0.3084398407569259, 0.3239515111725073, 0.3440752384334058, 0.4682281101849777, 0.3068778164232975, 0.6537585749118768, 0.5886305344125798, 0.7906607199750555, 0.9915820088076763, 0.478819270124326, 0.231487715816742, 0.30361271826391334, 0.27106797523494497, 0.4814766607997236, 0.48183036745465024, 0.2361329371628288, 0.16979256431337308, 0.020716794988394183, 0.2213995535678318, 0.9366526868400252, 0.1446330685031494, 0.8761364936751385, 0.08162534259605547, 0.5119816610412898, 0.7098653676943553, 0.25032587576612586, 0.3994986474106361, 0.3759045672738619, 0.1411768614727148, 0.18563678039521936, 0.829700966531891, 0.9871715945099422, 0.5509056408937661, 0.47278176063901767, 0.3231754827593718, 0.6978074163220412, 0.4857030164167022, 0.7598920328404035, 0.30442297089636616, 0.5039074532861423, 0.6561160481787945, 0.6963703572552454, 0.7142472353265563, 0.016208316862629468, 0.19893207659660717, 0.16965081307142316, 0.8495301395329833, 0.015925136483294855, 0.24768908881928986, 0.2545290342897636, 0.5528426948217373, 0.6094167061644422, 0.015518026703917331, 0.2185730189337004, 0.8399283322806078, 0.8397581555382999, 0.9804780253740774, 0.7963798050841231, 0.7266863136683183, 0.8284056721616221, 0.8964378773602574, 0.5441746809995042, 0.7729080352811687, 0.7835555826206357, 0.5314425040006286, 0.2662822053578803, 0.016345214604805314, 0.5166099511847989, 0.4128117017809825, 0.7609063969047446, 0.4630489739189213, 0.30110264951474597, 0.4654516277937991, 0.7255027452152022, 0.41934726130994593, 0.2254576341505834, 0.6738844719817774, 0.18125960695150833, 0.7888180441846635, 0.13188769084734842, 0.6522190017791609, 0.06137750462804614, 0.9620565187935678, 0.9368001088838751, 0.29492044498558434, 0.9571543655942513, 0.9999986001400075, 0.7814196051445, 0.5045519424425869, 0.24612638245269236, 0.48274530004680694, 0.9011719352081496, 0.20497118981269202, 0.44251944988771397, 0.7818187278801748, 0.5904090778169421, 0.7445627114665031, 0.47694038817302065, 0.23941169095998338, 0.6132190557223557]",2006,6
"[0.8873034460281403, 0.9702942507655538, 0.42145044167787904, 0.4815822718471249, 0.2871897787858797, 0.4489337663339269, 0.39254286019177453, 0.03809941927179705, 0.13037215282353376, 0.6762970210046139, 0.7674890853502475, 0.39111530319817434, 0.7554478450408204, 0.6609210397164779, 0.6538337632311955, 0.43229727523591555, 0.8728205396745264, 0.1986300731357995, 0.20838012299554864, 0.6680359821706906, 0.07726807077552256, 0.8379945563144916, 0.18190069303957734, 0.09526701048431274, 0.4458648420886667, 0.519684172333793, 0.02121312599051528, 0.5559945124290521, 0.043241304260746904, 0.354202659778484, 0.03481242020958941, 0.630088445799506, 0.07789585987113112, 0.8767885562347222, 0.7855290110151558, 0.3875176230468116, 0.9555124893133314, 0.2590963600916094, 0.329063145627599, 0.09978463178337993, 0.9130580024732857, 0.453919281572002, 0.39171145870778457, 0.6249706934357603, 0.3300590836520515, 0.5816624013393593, 0.5747077919206124, 0.07890575039242775, 0.6662213366914609, 0.6158214724378083, 0.5794385718081585, 0.5005680228477485, 0.5696980029738954, 0.4125679098249323, 0.21940952268642033, 0.4061931128842189, 0.7504893063779984, 0.7530665358791477, 0.8994954213053137, 0.30023264020902285, 0.9634644782699499, 0.9043275974275472, 0.7404846670071431, 0.45803429084904956, 0.08928439806461985, 0.1441475619402217, 0.5158119049878832, 0.3302504047943239, 0.898078122337803, 0.9549755320785958, 0.3237758539118044, 0.6989182802118902, 0.9275078947504274, 0.009338571746677071, 0.9134236200931908, 0.635343824797707, 0.33542511001482833, 0.5200300985259546, 0.6742227733079126, 0.25432814851768293, 0.9564126886369334, 0.9453663773820653, 0.5129737386836684, 0.350599398316653, 0.37095393773102303, 0.03728043146097315, 0.44168022778306115, 0.12688756994005235, 0.704623111386918, 0.6759711922291739, 0.9464234481667733, 0.217755852464794, 0.8835733474694453, 0.11955541373727119, 0.1373963069936247, 0.9225061558036811, 0.1318148912268231, 0.0413384368152897, 0.8181592627670312, 0.38493551676420523, 0.8182685673727992, 0.7836006302399762, 0.5356236086031457, 0.7267302490173504, 0.04732909715728051, 0.9052751591951335, 0.539877719780729, 0.7177875921867655, 0.10394260064298666, 0.1388618210361563, 0.7121691636892892, 0.945821930040881, 0.48248546233858236, 0.4969017009006913, 0.9621170949921495, 0.6313269999090748, 0.6121556542364831, 0.03731387349245696, 0.49734207805892516, 0.33776304416566305, 0.24466697368616586, 0.42722505942348465, 0.026921969280527147, 0.7999541786084251, 0.5945285509244266, 0.9776024339496211, 0.7058292735113657, 0.545276394409806]",2007,7
"[0.5718549286175211, 0.6254686495452486, 0.1041337065790714, 0.06537207992178296, 0.44010152626383814, 0.01696390443222373, 0.741677911900438, 0.735868575846301, 0.2922280424682654, 0.12322595664934066, 0.003468848063050589, 0.5928052986368363, 0.6427728412219048, 0.29160697469625496, 0.3020911583789455, 0.7338849068876153, 0.3274917797219016, 0.9524600348666193, 0.4019169200117575, 0.35964855450765487, 0.37411880571952594, 0.8043237841842181, 0.23037232619126158, 0.844402600128725, 0.5419160250529949, 0.8414793234247039, 0.690575487376426, 0.39735839228635417, 0.049882114242172926, 0.8739030117784542, 0.7684563257581346, 0.8442641293523974, 0.957593362851225, 0.5891257918120716, 0.8531599820040033, 0.40458450025781734, 0.041021943781360815, 0.3096239523947578, 0.6028196193393002, 0.2677078811924223, 0.3946248745458031, 0.07069778596148368, 0.14403658247756945, 0.7051627527026628, 0.72388777876785, 0.32797795853310086, 0.22528726254188747, 0.5138250001148144, 0.9098701613773059, 0.49988177085026686, 0.8808391004374139, 0.28640790278772854, 0.06904355619160518, 0.26639206900517476, 0.5174454815473546, 0.9778323901336915, 0.7540907847420071, 0.3241328054924555, 0.287359565570092, 0.7284050980812472, 0.5738675018729351, 0.8487415100546396, 0.49248948865242104, 0.2851745507183481, 0.1342537956781341, 0.9217568872686233, 0.936928526624231, 0.41319564558300315, 0.6644377533218012, 0.4442281999518265, 0.2350932238610407, 0.12933589425735603, 0.8853375242524245, 0.30651666155329005, 0.09295118871235297, 0.1797596459263675, 0.4406243226597307, 0.47130014971427225, 0.6585678720594446, 0.3322600991833232, 0.48962501312777096, 0.36673963916291064, 0.5393523698335121, 0.0942082365284227, 0.48862762858390196, 0.12185768986210843, 0.029228714847645, 0.9659961048385398, 0.7021481274021043, 0.08026986512425549, 0.9950073823732888, 0.18953698207560288, 0.9199766140593264, 0.816862889054181, 0.8587421408067398, 0.21028610613530574, 0.9901661052458642, 0.6041601300264113, 0.2987359598339083, 0.6102165355730004, 0.4096498817820907, 0.058418248244243465, 0.051025038964449765, 0.8182587719996698, 0.10628485295695589, 0.8677060073845703, 0.94872506394392, 0.039344512922157016, 0.7317387939259281, 0.6785343741297813, 0.40549350818075147, 0.03655048173861941, 0.39356650998720966, 0.9998413726365473, 0.1354753878415802, 0.40749345670348547, 0.3905350536320302, 0.08928529082429304, 0.9376499970817297, 0.7231174783276739, 0.40034899644252464, 0.9883615308346866, 0.8461352520770028, 0.5847021997910141, 0.15758866760630996, 0.8794055081286833, 0.5643200134991593, 0.33447596297690596]",2008,8
"[0.0500340974501553, 0.5943211396363519, 0.8764833868095216, 0.541551660638719, 0.4709385134737444, 0.16278571007888987, 0.010690427079601106, 0.1784980892139566, 0.46089125929707353, 0.9697988222375329, 0.008175131351184084, 0.6312746027012531, 0.7647183593096856, 0.8224214507330979, 0.9229854169682902, 0.13400439283905696, 0.7252296312262717, 0.2528511074595713, 0.9129314764068246, 0.8686411278383275, 0.8593492107842367, 0.7953178787603451, 0.6425583970013266, 0.8442184941919552, 0.22816164127325067, 0.3021867826406006, 0.6214054461544709, 0.4489692932340905, 0.9052360289049434, 0.11494965391920664, 0.4805224915139734, 0.813838905753037, 0.48877721839956145, 0.1971924367473692, 0.6793869498733498, 0.7661474818337993, 0.1788835406129009, 0.9666644068917988, 0.36910245478298087, 0.6083513568763383, 0.25096024446612175, 0.599025846112874, 0.6495347342945104, 0.869571540649461, 0.3798149822185808, 0.6189184078997024, 0.9795065347115144, 0.6128874975660838, 0.3531610703743442, 0.4222916538696422, 0.09047580312327397, 0.6165191612623823, 0.45256053606499624, 0.25402462660209013, 0.1747566148437114, 0.13348472135802136, 0.11294358558078044, 0.019526267682610454, 0.2831454082980869, 0.6224843166265988, 0.13645296641868132, 0.5807125714438139, 0.0907718687501814, 0.714013203207662, 0.9772425790543902, 0.373869927124618, 0.8697959517754226, 0.8937094376327382, 0.6401739480425642, 0.5125012823318644, 0.8864141536436076, 0.4033533087729787, 0.33104189664715955, 0.9975183476645607, 0.2830908424586992, 0.839382401189518, 0.025636704701381907, 0.6367500939416108, 0.0813163875273949, 0.09506003451182532, 0.726762610290581, 0.828262989075189, 0.5241672510543697, 0.4481810318136471, 0.05192638214515077, 0.67894128928118, 0.4323861026778497, 0.32699617288083194, 0.8027713844388874, 0.5696726115010163, 0.5949468333325327, 0.8110899771292314, 0.6616974608664565, 0.044059181485567644, 0.04456514288083868, 0.7657423321614673, 0.8549895839579869, 0.42219151881030115, 0.8589310243477215, 0.7530991044948526, 0.10503035766072477, 0.5660935855467022, 0.9420856670980418, 0.8960956293433284, 0.48792095150312964, 0.22018665026609252, 0.10594280065294226, 0.6130840608488425, 0.8155409877009814, 0.7476578139518046, 0.09387587085139937, 0.5234537024414165, 0.3454436457406188, 0.13423511299972224, 0.1832320972943765, 0.24040062674897533, 0.9373179365378486, 0.3133183102841357, 0.6456062803186993, 0.37786753147113394, 0.4685236905643282, 0.027604426447154218, 0.22722182540818747, 0.5411292161186902, 0.8086985598308833, 0.7152980726293071, 0.7930893287695207, 0.8902708827205402]",2009,9
